Sales Id,Region,Country,Item Type,Sales Channel,Order Priority,,,
1,Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,,,
2,Central America and the Caribbean,Panama,Snacks,Offline,C,,,
3,Europe,Czech Republic,Beverages,Offline,C,,,
4,Asia,North Korea,Cereal,Offline,L,,,
5,Asia,Sri Lanka,Snacks,Offline,C,,,
6,Middle East and North Africa,Morocco,Personal Care,Offline,L,,,
7,Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,,,
8,Europe,Bosnia and Herzegovina,Clothes,Online,M,,,
9,Middle East and North Africa,Afghanistan,Clothes,Offline,M,,,
10,Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,,,
11,Middle East and North Africa,Turkey,Office Supplies,Offline,C,,,
12,Middle East and North Africa,Oman,Cosmetics,Online,M,,,
13,Asia,Malaysia,Cereal,Offline,L,,,
14,Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,,,
15,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,,,
16,Middle East and North Africa,Lebanon,Meat,Offline,H,,,
17,Europe,Austria,Cereal,Offline,C,,,
18,Europe,Bulgaria,Office Supplies,Online,L,,,
19,North America,Mexico,Beverages,Online,C,,,
20,Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,,,
21,Middle East and North Africa,Libya,Beverages,Offline,L,,,
22,Middle East and North Africa,Algeria,Baby Food,Offline,M,,,
23,Europe,Estonia,Fruits,Online,L,,,
24,Australia and Oceania,Tuvalu,Beverages,Offline,L,,,
25,Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,,,
26,Central America and the Caribbean,Cuba,Cereal,Online,H,,,
27,Europe,Montenegro,Fruits,Offline,L,,,
28,Central America and the Caribbean,Guatemala,Office Supplies,Online,M,,,
29,Sub-Saharan Africa,Guinea,Baby Food,Online,M,,,
30,Australia and Oceania,Vanuatu,Snacks,Online,C,,,
31,Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,,,
32,Australia and Oceania,Australia,Clothes,Offline,M,,,
33,Middle East and North Africa,Oman,Clothes,Online,H,,,
34,Sub-Saharan Africa,Malawi,Meat,Online,L,,,
35,Middle East and North Africa,Lebanon,Fruits,Online,H,,,
36,Europe,Czech Republic,Cereal,Online,M,,,
37,Australia and Oceania,Vanuatu,Cosmetics,Offline,C,,,
38,Europe,Luxembourg,Vegetables,Offline,L,,,
39,Sub-Saharan Africa,Benin,Personal Care,Online,L,,,
40,Middle East and North Africa,Somalia,Clothes,Offline,L,,,
41,Europe,Switzerland,Meat,Online,L,,,
42,Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,,,
43,Asia,Laos,Meat,Online,L,,,
44,Asia,Kyrgyzstan,Snacks,Online,C,,,
45,Middle East and North Africa,Algeria,Baby Food,Offline,M,,,
46,Sub-Saharan Africa,Angola,Office Supplies,Offline,C,,,
47,Sub-Saharan Africa,Mauritania,Cosmetics,Offline,M,,,
48,Middle East and North Africa,Lebanon,Household,Offline,M,,,
49,Europe,Finland,Beverages,Online,H,,,
50,Asia,Taiwan,Baby Food,Online,M,,,
51,Europe,Belgium,Snacks,Online,M,,,
52,Asia,Laos,Office Supplies,Online,H,,,
53,Europe,San Marino,Office Supplies,Online,H,,,
54,Australia and Oceania,Tuvalu,Household,Offline,H,,,
55,Australia and Oceania,Kiribati,Clothes,Offline,M,,,
56,Asia,Kyrgyzstan,Vegetables,Offline,H,,,
57,Australia and Oceania,Samoa ,Clothes,Online,M,,,
58,Sub-Saharan Africa,Central African Republic,Personal Care,Offline,H,,,
59,Asia,Uzbekistan,Cereal,Offline,L,,,
60,Central America and the Caribbean,Dominica,Meat,Online,M,,,
61,Middle East and North Africa,Qatar,Cereal,Online,L,,,
62,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,,,
63,Europe,Bosnia and Herzegovina,Baby Food,Online,C,,,
64,Asia,South Korea,Vegetables,Offline,H,,,
